PostNum,Candidate,PreNum,Pluses,Minuses,Points,Result,Saeima,Party,District,BallotsForParty
8,"Loreta Skaburska",11,1777,2373,37787,"",10,2,4,38383
9,"Kristīne Laure",12,1901,2546,37738,"",10,2,4,38383
10,"Ingmārs Kuklis",16,1945,2616,37712,"",10,2,4,38383
11,"Edgars Krūmiņš",5,2285,3013,37655,"",10,2,4,38383
12,"Andris Grafs",8,1547,2431,37499,"",10,2,4,38383
13,"Andris Dedzis",10,1873,2792,37464,"",10,2,4,38383
14,"Ivars Bandonis",13,1266,2399,37250,"",10,2,4,38383
15,"Ivars Ķervis",14,2639,3805,37217,"",10,2,4,38383
16,"Ilmārs Geige",15,1524,3228,36679,"",10,2,4,38383
1,"Atis Lejiņš",4,9407,2438,54758,ievēlēts,10,2,5,47789
2,"Artis Kampars",2,10505,4160,54134,ievēlēts,10,2,5,47789
3,"Aigars Štokenbergs",6,10335,4148,53976,ievēlēts,10,2,5,47789
4,"Sarmīte Ēlerte",1,12535,6717,53607,ievēlēts,10,2,5,47789
5,"Dzintars Zaķis",3,8517,3538,52768,ievēlēts,10,2,5,47789
6,"Klāvs Olšteins",12,4453,2830,49412,ievēlēts,10,2,5,47789
7,"Jānis Reirs",11,3661,3134,48316,"",10,2,5,47789
8,"Aivars Volfs",8,2693,2987,47495,"",10,2,5,47789
9,"Ansis Saliņš",5,2490,2955,47324,"",10,2,5,47789
10,"Madars Lasmanis",14,2411,3138,47062,"",10,2,5,47789
11,"Dace Lebeda",17,2671,3477,46983,"",10,2,5,47789
12,"Jolanta Knope",16,2382,3280,46891,"",10,2,5,47789
13,"Inga Priede",9,2059,3290,46558,"",10,2,5,47789
14,"Krišjānis Bušs",18,1764,3011,46542,"",10,2,5,47789
15,"Guntis Libeks",10,2043,3449,46383,"",10,2,5,47789
16,"Viktors Vilkaušs",15,1678,3090,46377,"",10,2,5,47789
17,"Valdis Veips",7,2457,3872,46374,"",10,2,5,47789
18,"Astrīda Vītola",13,1955,3409,46335,"",10,2,5,47789
1,"Agris Sūna",1,541,90,2759,N/A,10,3,1,2308
2,"Ilze Vīberga",2,183,88,2403,N/A,10,3,1,2308
3,"Māris Rudzītis",10,130,70,2368,N/A,10,3,1,2308
4,"Guntis Zēvalds",5,124,90,2342,N/A,10,3,1,2308
5,"Sigurds Graudiņš",19,107,83,2332,N/A,10,3,1,2308
6,"Sandra Kleine",4,117,94,2331,N/A,10,3,1,2308
7,"Lotārs Kulless",6,104,88,2324,N/A,10,3,1,2308
8,"Inta Eižvertiņa",21,106,95,2319,N/A,10,3,1,2308
9,"Andris Orols",18,92,87,2313,N/A,10,3,1,2308
10,"Iveta Reitere",8,87,86,2309,N/A,10,3,1,2308
11,"Edvīns Puķe",17,101,103,2306,N/A,10,3,1,2308
12,"Mārtiņš Mikšēns",14,78,87,2299,N/A,10,3,1,2308
13,"Āris Bočs",16,78,89,2297,N/A,10,3,1,2308
14,"Uldis Eldmanis",26,71,86,2293,N/A,10,3,1,2308
15,"Kārlis Tiltiņš",20,78,93,2293,N/A,10,3,1,2308
16,"Antons Vinovskis",12,95,117,2286,N/A,10,3,1,2308
17,"Aleksandrs Poika",22,82,110,2280,N/A,10,3,1,2308
18,"Pjotrs Palčejs",3,93,143,2258,N/A,10,3,1,2308
19,"Aleksandrs Obižajevs",7,88,142,2254,N/A,10,3,1,2308
