PostNum,PreNum,CandidateName,CandidateSurname,Sex,Saeima,PartyNum,PartyAbbr,DistrNum,DistrName,BallotsForParty,Pluses,Minuses,Points,Result
17,12,Mārtiņš,Ķeņģis,Male,10,2,Vienotība,3,Latgale,19231,566,2030,17767,""
18,14,Tatjana,Verjē,Female,10,2,Vienotība,3,Latgale,19231,687,2257,17661,""
19,13,Vjačeslavs,Novikovs,Male,10,2,Vienotība,3,Latgale,19231,798,2454,17575,""
1,1,Solvita,Āboltiņa,Female,10,2,Vienotība,4,Kurzeme,38383,11758,4344,45797,ievēlēts
2,4,Janīna,Kursīte-Pakule,Female,10,2,Vienotība,4,Kurzeme,38383,6661,2195,42849,ievēlēts
3,7,Ingrīda,Circene,Female,10,2,Vienotība,4,Kurzeme,38383,6740,4774,40349,ievēlēts
4,2,Silva,Bendrāte,Female,10,2,Vienotība,4,Kurzeme,38383,4241,3370,39254,ievēlēts
5,6,Didzis,Konuševskis,Male,10,2,Vienotība,4,Kurzeme,38383,3300,2754,38929,""
6,3,Karīna,Korna,Female,10,2,Vienotība,4,Kurzeme,38383,2859,2426,38816,""
7,9,Gunārs,Laicāns,Male,10,2,Vienotība,4,Kurzeme,38383,2621,2681,38323,""
8,11,Loreta,Skaburska,Female,10,2,Vienotība,4,Kurzeme,38383,1777,2373,37787,""
9,12,Kristīne,Laure,Female,10,2,Vienotība,4,Kurzeme,38383,1901,2546,37738,""
10,16,Ingmārs,Kuklis,Male,10,2,Vienotība,4,Kurzeme,38383,1945,2616,37712,""
11,5,Edgars,Krūmiņš,Male,10,2,Vienotība,4,Kurzeme,38383,2285,3013,37655,""
12,8,Andris,Grafs,Male,10,2,Vienotība,4,Kurzeme,38383,1547,2431,37499,""
13,10,Andris,Dedzis,Male,10,2,Vienotība,4,Kurzeme,38383,1873,2792,37464,""
14,13,Ivars,Bandonis,Male,10,2,Vienotība,4,Kurzeme,38383,1266,2399,37250,""
15,14,Ivars,Ķervis,Male,10,2,Vienotība,4,Kurzeme,38383,2639,3805,37217,""
16,15,Ilmārs,Geige,Male,10,2,Vienotība,4,Kurzeme,38383,1524,3228,36679,""
1,4,Atis,Lejiņš,Male,10,2,Vienotība,5,Zemgale,47789,9407,2438,54758,ievēlēts
2,2,Artis,Kampars,Male,10,2,Vienotība,5,Zemgale,47789,10505,4160,54134,ievēlēts
3,6,Aigars,Štokenbergs,Male,10,2,Vienotība,5,Zemgale,47789,10335,4148,53976,ievēlēts
4,1,Sarmīte,Ēlerte,Female,10,2,Vienotība,5,Zemgale,47789,12535,6717,53607,ievēlēts
5,3,Dzintars,Zaķis,Male,10,2,Vienotība,5,Zemgale,47789,8517,3538,52768,ievēlēts
6,12,Klāvs,Olšteins,Male,10,2,Vienotība,5,Zemgale,47789,4453,2830,49412,ievēlēts
7,11,Jānis,Reirs,Male,10,2,Vienotība,5,Zemgale,47789,3661,3134,48316,""
8,8,Aivars,Volfs,Male,10,2,Vienotība,5,Zemgale,47789,2693,2987,47495,""
9,5,Ansis,Saliņš,Male,10,2,Vienotība,5,Zemgale,47789,2490,2955,47324,""
10,14,Madars,Lasmanis,Male,10,2,Vienotība,5,Zemgale,47789,2411,3138,47062,""
11,17,Dace,Lebeda,Female,10,2,Vienotība,5,Zemgale,47789,2671,3477,46983,""
12,16,Jolanta,Knope,Female,10,2,Vienotība,5,Zemgale,47789,2382,3280,46891,""
13,9,Inga,Priede,Female,10,2,Vienotība,5,Zemgale,47789,2059,3290,46558,""
14,18,Krišjānis,Bušs,Male,10,2,Vienotība,5,Zemgale,47789,1764,3011,46542,""
15,10,Guntis,Libeks,Male,10,2,Vienotība,5,Zemgale,47789,2043,3449,46383,""
16,15,Viktors,Vilkaušs,Male,10,2,Vienotība,5,Zemgale,47789,1678,3090,46377,""
17,7,Valdis,Veips,Male,10,2,Vienotība,5,Zemgale,47789,2457,3872,46374,""
18,13,Astrīda,Vītola,Female,10,2,Vienotība,5,Zemgale,47789,1955,3409,46335,""
1,1,Agris,Sūna,Male,10,3,"Ražots Latvijā",1,Rīga,2308,541,90,2759,N/A
2,2,Ilze,Vīberga,Female,10,3,"Ražots Latvijā",1,Rīga,2308,183,88,2403,N/A
3,10,Māris,Rudzītis,Male,10,3,"Ražots Latvijā",1,Rīga,2308,130,70,2368,N/A
4,5,Guntis,Zēvalds,Male,10,3,"Ražots Latvijā",1,Rīga,2308,124,90,2342,N/A
5,19,Sigurds,Graudiņš,Male,10,3,"Ražots Latvijā",1,Rīga,2308,107,83,2332,N/A
6,4,Sandra,Kleine,Female,10,3,"Ražots Latvijā",1,Rīga,2308,117,94,2331,N/A
7,6,Lotārs,Kulless,Male,10,3,"Ražots Latvijā",1,Rīga,2308,104,88,2324,N/A
8,21,Inta,Eižvertiņa,Female,10,3,"Ražots Latvijā",1,Rīga,2308,106,95,2319,N/A
9,18,Andris,Orols,Male,10,3,"Ražots Latvijā",1,Rīga,2308,92,87,2313,N/A
10,8,Iveta,Reitere,Female,10,3,"Ražots Latvijā",1,Rīga,2308,87,86,2309,N/A
11,17,Edvīns,Puķe,Male,10,3,"Ražots Latvijā",1,Rīga,2308,101,103,2306,N/A
12,14,Mārtiņš,Mikšēns,Male,10,3,"Ražots Latvijā",1,Rīga,2308,78,87,2299,N/A
13,16,Āris,Bočs,Male,10,3,"Ražots Latvijā",1,Rīga,2308,78,89,2297,N/A
14,26,Uldis,Eldmanis,Male,10,3,"Ražots Latvijā",1,Rīga,2308,71,86,2293,N/A
15,20,Kārlis,Tiltiņš,Male,10,3,"Ražots Latvijā",1,Rīga,2308,78,93,2293,N/A
16,12,Antons,Vinovskis,Male,10,3,"Ražots Latvijā",1,Rīga,2308,95,117,2286,N/A
17,22,Aleksandrs,Poika,Male,10,3,"Ražots Latvijā",1,Rīga,2308,82,110,2280,N/A
18,3,Pjotrs,Palčejs,Male,10,3,"Ražots Latvijā",1,Rīga,2308,93,143,2258,N/A
19,7,Aleksandrs,Obižajevs,Male,10,3,"Ražots Latvijā",1,Rīga,2308,88,142,2254,N/A
20,9,Boriss,Sokolovs-Karijs,Male,10,3,"Ražots Latvijā",1,Rīga,2308,77,135,2250,N/A
21,15,Jurijs,Maslijs,Male,10,3,"Ražots Latvijā",1,Rīga,2308,55,120,2243,N/A
22,24,Svetlana,Latve,Female,10,3,"Ražots Latvijā",1,Rīga,2308,56,122,2242,N/A
23,13,Aleksandrs,Karpovičs,Male,10,3,"Ražots Latvijā",1,Rīga,2308,72,144,2236,N/A
24,11,Georgijs,Gorbunovs,Male,10,3,"Ražots Latvijā",1,Rīga,2308,60,138,2230,N/A
25,23,Aleksandrs,Aņikins,Male,10,3,"Ražots Latvijā",1,Rīga,2308,56,137,2227,N/A
26,25,Aleksandrs,Ņikitins,Male,10,3,"Ražots Latvijā",1,Rīga,2308,53,141,2220,N/A
1,1,Pēteris,Līcis,Male,10,3,"Ražots Latvijā",2,Vidzeme,2609,398,101,2906,N/A
2,13,Ivo,Meļķis,Male,10,3,"Ražots Latvijā",2,Vidzeme,2609,183,108,2684,N/A
3,12,Aivars,Sjademe,Male,10,3,"Ražots Latvijā",2,Vidzeme,2609,176,104,2681,N/A
4,3,Mārtiņš,Caunītis,Male,10,3,"Ražots Latvijā",2,Vidzeme,2609,199,141,2667,N/A
