"","PostNum","PreNum","CandidateName","CandidateSurname","Sex","Saeima","PartyNum","PartyAbbr","DistrNum","DistrName","BallotsForParty","Pluses","Minuses","Points","Result"
"150",23,4,"Antonijs","Zunda","Male",6,2,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534,344,581,14297," "
"151",24,3,"Ligita","Začesta","Female",6,2,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534,464,716,14282," "
"152",25,5,"Jānis","Kinna","Male",6,2,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534,1068,3342,12260," "
"153",1,2,"Anta","Rugāte","Female",6,2,"LZS, LKDS un Latgales DP",3,"Latgale",11848,2128,1076,12900,"ievēlēta"
"154",2,14,"Andrejs","Naglis","Male",6,2,"LZS, LKDS un Latgales DP",3,"Latgale",11848,1040,788,12100,"ievēlēts"
"155",3,9,"Staņislavs","Šķesters","Male",6,2,"LZS, LKDS un Latgales DP",3,"Latgale",11848,997,756,12089," "
"156",4,7,"Valdis","Lauskis","Male",6,2,"LZS, LKDS un Latgales DP",3,"Latgale",11848,1271,1134,11985," "
"157",5,16,"Jānis","Kokins","Male",6,2,"LZS, LKDS un Latgales DP",3,"Latgale",11848,1005,950,11903," "
"158",6,3,"Alberts","Sarkanis","Male",6,2,"LZS, LKDS un Latgales DP",3,"Latgale",11848,993,939,11902," "
"159",7,1,"Elmārs","Rutkis","Male",6,2,"LZS, LKDS un Latgales DP",3,"Latgale",11848,915,971,11792," "
"160",8,5,"Pēteris","Stanka","Male",6,2,"LZS, LKDS un Latgales DP",3,"Latgale",11848,829,928,11749," "
"161",9,12,"Juris","Poikāns","Male",6,2,"LZS, LKDS un Latgales DP",3,"Latgale",11848,701,826,11723," "
"162",10,11,"Jāzeps","Dobkevičs","Male",6,2,"LZS, LKDS un Latgales DP",3,"Latgale",11848,771,918,11701," "
"163",11,15,"Skaidrīte","Pilāte","Female",6,2,"LZS, LKDS un Latgales DP",3,"Latgale",11848,687,889,11646," "
"164",12,8,"Viktors","Jonāns","Male",6,2,"LZS, LKDS un Latgales DP",3,"Latgale",11848,694,955,11587," "
"165",13,6,"Ruta","Leikuma","Female",6,2,"LZS, LKDS un Latgales DP",3,"Latgale",11848,734,998,11584," "
"166",14,4,"Viktors","Kalāns","Male",6,2,"LZS, LKDS un Latgales DP",3,"Latgale",11848,707,1073,11482," "
"167",15,10,"Pēteris","Znotiņš","Male",6,2,"LZS, LKDS un Latgales DP",3,"Latgale",11848,532,906,11474," "
"168",16,18,"Rihards","Melnis","Male",6,2,"LZS, LKDS un Latgales DP",3,"Latgale",11848,523,914,11457," "
"169",17,17,"Jānis","Krievāns","Male",6,2,"LZS, LKDS un Latgales DP",3,"Latgale",11848,511,927,11432," "
"170",18,13,"Aleksandrs","Vorkalis","Male",6,2,"LZS, LKDS un Latgales DP",3,"Latgale",11848,480,933,11395," "
"171",1,8,"Māris","Vītols","Male",6,2,"LZS, LKDS un Latgales DP",4,"Kurzeme",11704,1566,294,12976,"ievēlēts"
"172",2,1,"Andris","Rozentāls","Male",6,2,"LZS, LKDS un Latgales DP",4,"Kurzeme",11704,1906,780,12830," "
"173",3,2,"Tālivaldis","Vēsmiņš","Male",6,2,"LZS, LKDS un Latgales DP",4,"Kurzeme",11704,1335,354,12685," "
"174",4,4,"Andris","Siliņš","Male",6,2,"LZS, LKDS un Latgales DP",4,"Kurzeme",11704,1247,303,12648," "
"175",5,10,"Egils","Deksnis","Male",6,2,"LZS, LKDS un Latgales DP",4,"Kurzeme",11704,1332,405,12631," "
"176",6,12,"Austris","Kristapsons","Male",6,2,"LZS, LKDS un Latgales DP",4,"Kurzeme",11704,943,343,12304," "
"177",7,9,"Valdis","Biķis","Male",6,2,"LZS, LKDS un Latgales DP",4,"Kurzeme",11704,828,332,12200," "
"178",8,7,"Valdis","Danenbergs","Male",6,2,"LZS, LKDS un Latgales DP",4,"Kurzeme",11704,647,318,12033," "
"179",9,5,"Inta","Mazūre","Female",6,2,"LZS, LKDS un Latgales DP",4,"Kurzeme",11704,710,386,12028," "
"180",10,6,"Alfons","Spēks","Male",6,2,"LZS, LKDS un Latgales DP",4,"Kurzeme",11704,640,342,12002," "
"181",11,13,"Gunārs","Bloks","Male",6,2,"LZS, LKDS un Latgales DP",4,"Kurzeme",11704,624,326,12002," "
"182",12,11,"Laimonis","Strujevičs","Male",6,2,"LZS, LKDS un Latgales DP",4,"Kurzeme",11704,572,345,11931," "
"183",13,3,"Imants","Vismins","Male",6,2,"LZS, LKDS un Latgales DP",4,"Kurzeme",11704,531,1046,11189," "
"184",1,4,"Ervids","Grinovskis","Male",6,2,"LZS, LKDS un Latgales DP",5,"Zemgale",9501,2768,312,11957,"ievēlēts"
"185",2,1,"Gundars","Bērziņš","Male",6,2,"LZS, LKDS un Latgales DP",5,"Zemgale",9501,1769,439,10831," "
"186",3,5,"Ansis","Grundulis","Male",6,2,"LZS, LKDS un Latgales DP",5,"Zemgale",9501,1099,322,10278," "
"187",4,11,"Ivars","Zvīdris","Male",6,2,"LZS, LKDS un Latgales DP",5,"Zemgale",9501,842,305,10038," "
"188",5,13,"Jānis","Lācis","Male",6,2,"LZS, LKDS un Latgales DP",5,"Zemgale",9501,893,364,10030," "
"189",6,3,"Atis","Slakteris","Male",6,2,"LZS, LKDS un Latgales DP",5,"Zemgale",9501,920,398,10023," "
"190",7,15,"Agris","Jaunkļaviņš","Male",6,2,"LZS, LKDS un Latgales DP",5,"Zemgale",9501,738,313,9926," "
"191",8,7,"Ģirts","Lūkins","Male",6,2,"LZS, LKDS un Latgales DP",5,"Zemgale",9501,838,498,9841," "
"192",9,14,"Paulis","Kļaviņš","Male",6,2,"LZS, LKDS un Latgales DP",5,"Zemgale",9501,668,376,9793,"ievēlēts Rīgas apgabalā"
"193",10,12,"Mārīte","Blumberga","Female",6,2,"LZS, LKDS un Latgales DP",5,"Zemgale",9501,521,420,9602," "
"194",11,6,"Jānis","Upenieks","Male",6,2,"LZS, LKDS un Latgales DP",5,"Zemgale",9501,375,343,9533," "
"195",12,9,"Inta","Kravis","Female",6,2,"LZS, LKDS un Latgales DP",5,"Zemgale",9501,395,376,9520," "
